GameID,TeamID,PlayerID,Extra_Information,Color_Dot
G3,B4,6,SUSPENDED,RED
G17,A1,17,ABSENT,White 
G17,A1,9,MISSES NEXT MATCH IF BOOKED,Yellow
G17,A3,6,MISSES NEXT MATCH IF BOOKED,Yellow
G17,A3,5,MISSES NEXT MATCH IF BOOKED,Yellow
G18,B1,16,MISSES NEXT MATCH IF BOOKED,Yellow
G18,B3,8,MISSES NEXT MATCH IF BOOKED,Yellow
G18,B3,15,INJURED,Purple
G19,A2,17,MISSES NEXT MATCH IF BOOKED,Yellow
G20,B4,10,MISSES NEXT MATCH IF BOOKED,Yellow
G20,B4,7,MISSES NEXT MATCH IF BOOKED,Yellow
G20,B4,18,MISSES NEXT MATCH IF BOOKED,Yellow
G20,B2,5,MISSES NEXT MATCH IF BOOKED,Yellow
G20,B4,4,INJURED,Purple
G21,C4,8,MISSES NEXT MATCH IF BOOKED,Yellow
G21,C4,20,MISSES NEXT MATCH IF BOOKED,Yellow
G21,C2,7,MISSES NEXT MATCH IF BOOKED,Yellow
G21,C2,16,MISSES NEXT MATCH IF BOOKED,Yellow
G21,C2,19,MISSES NEXT MATCH IF BOOKED,Yellow
G21,C4,7,ABSENT,White
G22,C1,12,MISSES NEXT MATCH IF BOOKED,Yellow
G22,C3,13,MISSES NEXT MATCH IF BOOKED,Yellow
G23,D3,7,MISSES NEXT MATCH IF BOOKED,Yellow
G23,D3,11,MISSES NEXT MATCH IF BOOKED,Yellow
G23,D3,16,ABSENT,White 
G24,E1,5,MISSES NEXT MATCH IF BOOKED,Yellow
G24,E3,20,MISSES NEXT MATCH IF BOOKED,Yellow
G24,E3,15,MISSES NEXT MATCH IF BOOKED,Yellow
G24,E1,14,ABSENT,White 
G25,D4,5,MISSES NEXT MATCH IF BOOKED,Yellow
G26,E4,6,MISSES NEXT MATCH IF BOOKED,Yellow
G26,E4,8,MISSES NEXT MATCH IF BOOKED,Yellow
G26,E2,2,MISSES NEXT MATCH IF BOOKED,Yellow
G26,E2,11,MISSES NEXT MATCH IF BOOKED,Yellow
G26,E2,22,MISSES NEXT MATCH IF BOOKED,Yellow
G27,G1,5,MISSES NEXT MATCH IF BOOKED,Yellow
G27,G1,7,MISSES NEXT MATCH IF BOOKED,Yellow
G27,G1,15,MISSES NEXT MATCH IF BOOKED,Yellow
G27,G3,22,ABSENT,White 
G28,F4,11,MISSES NEXT MATCH IF BOOKED,Yellow
G28,F4,9,MISSES NEXT MATCH IF BOOKED,Yellow
G28,F2,15,MISSES NEXT MATCH IF BOOKED,Yellow
G28,F3,16,MISSES NEXT MATCH IF BOOKED,Yellow
G28,F4,6,INJURED,Purple
G29,F1,13,MISSES NEXT MATCH IF BOOKED,Yellow
G29,F1,5,MISSES NEXT MATCH IF BOOKED,Yellow
G29,F3,17,MISSES NEXT MATCH IF BOOKED,Yellow
G30,G4,2,MISSES NEXT MATCH IF BOOKED,Yellow
G30,G2,2,MISSES NEXT MATCH IF BOOKED,Yellow
G30,G2,8,MISSES NEXT MATCH IF BOOKED,Yellow
G30,G2,11,MISSES NEXT MATCH IF BOOKED,Yellow
G30,G2,15,MISSES NEXT MATCH IF BOOKED,Yellow
G30,G2,20,MISSES NEXT MATCH IF BOOKED,Yellow
G31,H4,1,MISSES NEXT MATCH IF BOOKED,Yellow
G31,H2,5,MISSES NEXT MATCH IF BOOKED,Yellow
G31,H2,6,MISSES NEXT MATCH IF BOOKED,Yellow
G32,H1,10,MISSES NEXT MATCH IF BOOKED,Yellow
G32,H3,5,MISSES NEXT MATCH IF BOOKED,Yellow
G32,H3,10,MISSES NEXT MATCH IF BOOKED,Yellow
G32,H3,6,SUSPENDED,RED 
G33,A1,10,MISSES NEXT MATCH IF BOOKED,Yellow
G33,A1,17,MISSES NEXT MATCH IF BOOKED,Yellow
G33,A1,9,ABSENT,White 
G33,A4,2,INJURED,Purple
G34,A2,4,INJURED,Purple
G34,A2,5,INJURED,Purple
G34,A2,17,ABSENT,White 
G34,A3,4,INJURED,Purple
G35,B2,5,MISSES NEXT MATCH IF BOOKED,Yellow
G35,B3,22,INJURED,Purple
G35,B3,15,ABSENT,White 
G36,B4,9,MISSES NEXT MATCH IF BOOKED,Yellow
G36,B4,11,MISSES NEXT MATCH IF BOOKED,Yellow
G36,B4,18,MISSES NEXT MATCH IF BOOKED,Yellow
G36,B4,7,MISSES NEXT MATCH IF BOOKED,Yellow
G36,B4,10,MISSES NEXT MATCH IF BOOKED,Yellow
G36,B1,23,MISSES NEXT MATCH IF BOOKED,Yellow
G36,B1,16,MISSES NEXT MATCH IF BOOKED,Yellow
G36,B4,4,INJURED,Purple
G37,C2,7,MISSES NEXT MATCH IF BOOKED,Yellow
G37,C2,16,MISSES NEXT MATCH IF BOOKED,Yellow
G37,C2,19,MISSES NEXT MATCH IF BOOKED,Yellow
G37,C3,10,ABSENT,White 
G38,C4,8,MISSES NEXT MATCH IF BOOKED,Yellow
G38,C4,23,MISSES NEXT MATCH IF BOOKED,Yellow
G38,C4,20,SUSPENDED,RED 
G38,C1,6,MISSES NEXT MATCH IF BOOKED,Yellow
G38,C1,12,MISSES NEXT MATCH IF BOOKED,Yellow
G38,C1,14,MISSES NEXT MATCH IF BOOKED,Yellow
G39,D4,2,MISSES NEXT MATCH IF BOOKED,Yellow
G39,D4,5,MISSES NEXT MATCH IF BOOKED,Yellow
G39,D1,2,MISSES NEXT MATCH IF BOOKED,Yellow
G39,D1,17,MISSES NEXT MATCH IF BOOKED,Yellow
G39,D1,8,MISSES NEXT MATCH IF BOOKED,Yellow
G40,D3,5,MISSES NEXT MATCH IF BOOKED,Yellow
G40,D3,2,MISSES NEXT MATCH IF BOOKED,Yellow
G40,D3,7,MISSES NEXT MATCH IF BOOKED,Yellow
G40,D3,11,MISSES NEXT MATCH IF BOOKED,Yellow
G40,D3,17,MISSES NEXT MATCH IF BOOKED,Yellow
G40,D3,18,MISSES NEXT MATCH IF BOOKED,Yellow
G40,D3,16,ABSENT,White 
G41,F4,2,MISSES NEXT MATCH IF BOOKED,Yellow
G41,F4,15,MISSES NEXT MATCH IF BOOKED,Yellow
G41,F4,19,MISSES NEXT MATCH IF BOOKED,Yellow
G41,F4,9,MISSES NEXT MATCH IF BOOKED,Yellow
G41,F4,10,MISSES NEXT MATCH IF BOOKED,Yellow
G41,F4,11,MISSES NEXT MATCH IF BOOKED,Yellow
G41,F1,5,MISSES NEXT MATCH IF BOOKED,Yellow
G41,F1,13,MISSES NEXT MATCH IF BOOKED,Yellow
G41,F1,17,SUSPENDED,Red
G42,F2,15,MISSES NEXT MATCH IF BOOKED,Yellow
G42,F2,16,MISSES NEXT MATCH IF BOOKED,Yellow
G42,F3,7,MISSES NEXT MATCH IF BOOKED,Yellow
G42,F3,8,MISSES NEXT MATCH IF BOOKED,Yellow
G42,F3,17,MISSES NEXT MATCH IF BOOKED,Yellow
G43,E4,9,MISSES NEXT MATCH IF BOOKED,Yellow
G43,E4,20,MISSES NEXT MATCH IF BOOKED,Yellow
G43,E4,21,MISSES NEXT MATCH IF BOOKED,Yellow
G43,E4,4,MISSES NEXT MATCH IF BOOKED,Yellow
G43,E4,6,MISSES NEXT MATCH IF BOOKED,Yellow
G43,E4,8,MISSES NEXT MATCH IF BOOKED,Yellow
G43,E1,5,MISSES NEXT MATCH IF BOOKED,Yellow
G43,E1,10,MISSES NEXT MATCH IF BOOKED,Yellow
G43,E1,11,MISSES NEXT MATCH IF BOOKED,Yellow
G43,E1,7,ABSENT,White 
G43,E1,14,ABSENT,White 
G44,E2,2,MISSES NEXT MATCH IF BOOKED,Yellow
G44,E2,11,MISSES NEXT MATCH IF BOOKED,Yellow
G44,E2,22,MISSES NEXT MATCH IF BOOKED,Yellow
G44,E2,23,MISSES NEXT MATCH IF BOOKED,Yellow
G44,E2,14,ABSENT,White 
G45,H4,1,MISSES NEXT MATCH IF BOOKED,Yellow
G45,H4,14,MISSES NEXT MATCH IF BOOKED,Yellow
G45,H4,17,MISSES NEXT MATCH IF BOOKED,Yellow
G46,H2,5,MISSES NEXT MATCH IF BOOKED,Yellow
G46,H2,6,MISSES NEXT MATCH IF BOOKED,Yellow
G46,H2,12,MISSES NEXT MATCH IF BOOKED,Yellow
G46,H2,19,MISSES NEXT MATCH IF BOOKED,Yellow
G46,H2,11,MISSES NEXT MATCH IF BOOKED,Yellow
G46,H3,10,MISSES NEXT MATCH IF BOOKED,Yellow
G46,H3,5,MISSES NEXT MATCH IF BOOKED,Yellow
G46,H3,8,ABSENT,White 
G47,G2,2,SUSPENDED,Red
G47,G2,11,SUSPENDED,Red
G47,G2,10,INJURED,Purple
G47,G3,1,ABSENT,White 
G47,G3,2,ABSENT,White 
G47,G3,11,ABSENT,White 
G47,G3,22,ABSENT,White 
G48,G4,21,MISSES NEXT MATCH IF BOOKED,Yellow
G48,G4,2,MISSES NEXT MATCH IF BOOKED,Yellow
G48,G1,5,MISSES NEXT MATCH IF BOOKED,Yellow
G48,G1,7,MISSES NEXT MATCH IF BOOKED,Yellow
G48,G1,15,MISSES NEXT MATCH IF BOOKED,Yellow
G49,A4,6,MISSES NEXT MATCH IF BOOKED,Yellow
G49,B1,5,MISSES NEXT MATCH IF BOOKED,Yellow
G49,B1,7,MISSES NEXT MATCH IF BOOKED,Yellow
G49,B1,23,MISSES NEXT MATCH IF BOOKED,Yellow
G49,B1,16,MISSES NEXT MATCH IF BOOKED,Yellow
G49,B1,20,MISSES NEXT MATCH IF BOOKED,Yellow
G49,B1,21,MISSES NEXT MATCH IF BOOKED,Yellow
G50,C1,6,MISSES NEXT MATCH IF BOOKED,Yellow
G50,C1,14,MISSES NEXT MATCH IF BOOKED,Yellow
G50,C1,12,MISSES NEXT MATCH IF BOOKED,Yellow
G50,D1,2,MISSES NEXT MATCH IF BOOKED,Yellow
G50,D1,7,MISSES NEXT MATCH IF BOOKED,Yellow
G50,D1,10,MISSES NEXT MATCH IF BOOKED,Yellow
G50,D1,14,MISSES NEXT MATCH IF BOOKED,Yellow
G50,D1,17,MISSES NEXT MATCH IF BOOKED,Yellow
G50,D1,8,MISSES NEXT MATCH IF BOOKED,Yellow
G51,B2,5,MISSES NEXT MATCH IF BOOKED,Yellow
G51,A1,17,MISSES NEXT MATCH IF BOOKED,Yellow
G51,A1,8,MISSES NEXT MATCH IF BOOKED,Yellow
G51,A1,10,MISSES NEXT MATCH IF BOOKED,Yellow
G51,A1,23,SUSPENDED,Red
G52,D3,2,MISSES NEXT MATCH IF BOOKED,Yellow
G52,D3,7,MISSES NEXT MATCH IF BOOKED,Yellow
G52,D3,11,MISSES NEXT MATCH IF BOOKED,Yellow
G52,D3,17,MISSES NEXT MATCH IF BOOKED,Yellow
G52,D3,18,MISSES NEXT MATCH IF BOOKED,Yellow
G52,D3,5,MISSES NEXT MATCH IF BOOKED,Yellow
G52,D3,13,MISSES NEXT MATCH IF BOOKED,Yellow
G52,D3,20,MISSES NEXT MATCH IF BOOKED,Yellow
G52,C4,8,MISSES NEXT MATCH IF BOOKED,Yellow
G52,C4,13,MISSES NEXT MATCH IF BOOKED,Yellow
G52,C4,23,MISSES NEXT MATCH IF BOOKED,Yellow
G52,D3,16,ABSENT,WHITE
G53,E1,5,MISSES NEXT MATCH IF BOOKED,Yellow
G53,E1,10,MISSES NEXT MATCH IF BOOKED,Yellow
G53,E1,11,MISSES NEXT MATCH IF BOOKED,Yellow
G53,F2,16,MISSES NEXT MATCH IF BOOKED,Yellow
G53,F2,23,MISSES NEXT MATCH IF BOOKED,Yellow
G53,F2,7,MISSES NEXT MATCH IF BOOKED,Yellow
G53,F2,15,SUSPENDED,Red
G53,E1,7,ABSENT,WHITE
G54,G1,5,MISSES NEXT MATCH IF BOOKED,Yellow
G54,G1,7,MISSES NEXT MATCH IF BOOKED,Yellow
G54,G1,15,MISSES NEXT MATCH IF BOOKED,Yellow
G54,G1,17,MISSES NEXT MATCH IF BOOKED,Yellow
G54,G1,23,MISSES NEXT MATCH IF BOOKED,Yellow
G54,H4,1,MISSES NEXT MATCH IF BOOKED,Yellow
G54,H4,14,MISSES NEXT MATCH IF BOOKED,Yellow
G54,H4,17,MISSES NEXT MATCH IF BOOKED,Yellow
G54,H4,20,MISSES NEXT MATCH IF BOOKED,Yellow
G55,F3,2,MISSES NEXT MATCH IF BOOKED,Yellow
G55,F3,8,MISSES NEXT MATCH IF BOOKED,Yellow
G55,F3,17,MISSES NEXT MATCH IF BOOKED,Yellow
G55,F3,7,SUSPENDED,Red
G55,E2,11,MISSES NEXT MATCH IF BOOKED,Yellow
G55,E2,23,MISSES NEXT MATCH IF BOOKED,Yellow
G55,E2,17,MISSES NEXT MATCH IF BOOKED,Yellow
G55,E2,2,SUSPENDED,Red
G55,E2,22,SUSPENDED,Red
G56,H3,5,MISSES NEXT MATCH IF BOOKED,Yellow
G56,H3,17,MISSES NEXT MATCH IF BOOKED,Yellow
G56,H3,10,ABSENT,WHITE
G56,H3,19,ABSENT,WHITE
G56,G4,2,MISSES NEXT MATCH IF BOOKED,Yellow
G56,G4,21,MISSES NEXT MATCH IF BOOKED,Yellow
G56,G4,17,ABSENT,WHITE
G57,A4,6,MISSES NEXT MATCH IF BOOKED,Yellow
G57,A4,21,INJURED,Purple
G57,C1,2,MISSES NEXT MATCH IF BOOKED,Yellow
G57,C1,6,MISSES NEXT MATCH IF BOOKED,Yellow
G57,C1,9,MISSES NEXT MATCH IF BOOKED,Yellow
G57,C1,12,MISSES NEXT MATCH IF BOOKED,Yellow
G57,C1,14,SUSPENDED,Red
G58,E1,10,MISSES NEXT MATCH IF BOOKED,Yellow
G58,E1,11,MISSES NEXT MATCH IF BOOKED,Yellow
G58,E1,6,MISSES NEXT MATCH IF BOOKED,Yellow
G58,E1,5,SUSPENDED,Red
G58,E1,14,ABSENT,WHITE
G58,G1,5,MISSES NEXT MATCH IF BOOKED,Yellow
G58,G1,7,MISSES NEXT MATCH IF BOOKED,Yellow
G58,G1,15,MISSES NEXT MATCH IF BOOKED,Yellow
G58,G1,17,MISSES NEXT MATCH IF BOOKED,Yellow
G58,G1,23,MISSES NEXT MATCH IF BOOKED,Yellow
G59,A1,3,MISSES NEXT MATCH IF BOOKED,Yellow
G59,A1,11,MISSES NEXT MATCH IF BOOKED,Yellow
G59,A1,17,MISSES NEXT MATCH IF BOOKED,Yellow
G59,A1,8,MISSES NEXT MATCH IF BOOKED,Yellow
G59,A1,10,MISSES NEXT MATCH IF BOOKED,Yellow
G59,D3,2,MISSES NEXT MATCH IF BOOKED,Yellow
G59,D3,7,MISSES NEXT MATCH IF BOOKED,Yellow
G59,D3,17,MISSES NEXT MATCH IF BOOKED,Yellow
G59,D3,18,MISSES NEXT MATCH IF BOOKED,Yellow
G59,D3,5,MISSES NEXT MATCH IF BOOKED,Yellow
G59,D3,11,MISSES NEXT MATCH IF BOOKED,Yellow
G59,D3,13,MISSES NEXT MATCH IF BOOKED,Yellow
G59,D3,20,MISSES NEXT MATCH IF BOOKED,Yellow
G59,D3,16,ABSENT,WHITE
G60,F3,8,MISSES NEXT MATCH IF BOOKED,Yellow
G60,F3,17,MISSES NEXT MATCH IF BOOKED,Yellow
G60,F3,2,SUSPENDED,Red
G60,G4,2,MISSES NEXT MATCH IF BOOKED,Yellow
G60,G4,7,MISSES NEXT MATCH IF BOOKED,Yellow
G60,G4,8,MISSES NEXT MATCH IF BOOKED,Yellow
G60,G4,21,MISSES NEXT MATCH IF BOOKED,Yellow
G61,G1,15,SUSPENDED,Red
G62,D3,16,ABSENT,WHITE
G64,D3,16,ABSENT,WHITE
